Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
2020,216299,GRAPESWINE,97,Sonoma,56800.0,2.61,148000.0,2375.08,Tons,351512000
2019,216299,GRAPESWINE,97,Sonoma,57500.0,4.0,230000.0,2843.57,Tons,654021000
2018,216299,GRAPESWINE,97,Sonoma,59900.0,4.61,276000.0,2817.66,Tons,777675000
2017,216299,GRAPESWINE,97,Sonoma,60000.0,3.43,206000.0,2807.34,Tons,578313000
2016,216299,GRAPESWINE,97,Sonoma,60000.0,3.77,226000.0,2595.21,Tons,586518000
2015,216299,GRAPESWINE,97,Sonoma,58200.0,3.14,183000.0,2440.1,Tons,446539000
2014,216299,GRAPESWINE,97,Sonoma,58300.0,4.39,256000.0,2315.62,Tons,592798000
2013,216299,GRAPESWINE,97,Sonoma,59800.0,4.53,271000.0,2232.72,tons,605068000
2012,216299,GRAPESWINE,97,Sonoma,58300.0,4.58,267000.0,2183.3,Tons,582942000
2011,216299,GRAPESWINE,97,Sonoma,58100.0,2.87,167000.0,2078.32,Tons,347080000
2010,216299,GRAPESWINE,97,Sonoma,56500.0,3.4,192000.0,2033.58,Tons,390448000
2009,216299,GRAPESWINE,97,Sonoma,56306.0,3.78,212675.0,2186.61,Tons,465036400
2008,216299,GRAPESWINE,97,Sonoma,55431.0,3.05,168992.0,2255.09,TONS,381092000
2007,216299,GRAPESWINE,97,Sonoma,54899.0,3.62,198533.0,2098.14,TON,416549600
2006,216299,GRAPESWINE,97,Sonoma,55507.0,3.9,216248.0,1990.76,TONS,430496900
2005,216299,GRAPESWINE,97,Sonoma,57050.0,4.05,230910.0,1864.64,TONS,430563500
2004,216299,GRAPESWINE,97,Sonoma,50010.0,3.31,165783.0,1882.64,TONS,312110200
2003,216299,GRAPESWINE,97,Sonoma,52176.0,3.08,160768.0,1967.2,TON,316262300
2002,216299,GRAPESWINE,97,Sonoma,46587.0,3.93,183139.0,2055.0,TON,376422300
2001,216299,GRAPESWINE,97,Sonoma,43589.0,3.98,173583.0,2157.0,TONS,374389700
2000,216299,GRAPESWINE,97,Sonoma,42220.0,4.52,190789.0,2043.0,TON,389781900
1999,216299,GRAPESWINE,97,Sonoma,42227.0,3.37,142477.0,1890.0,TON,269271000
1998,216299,GRAPESWINE,97,Sonoma,35334.0,3.77,133258.0,1740.0,TONS,231828000
1997,216299,GRAPESWINE,97,Sonoma,34121.0,5.5,187674.0,1589.0,TONS,298147300
1996,216299,GRAPESWINE,97,Sonoma,33703.0,3.8,127990.0,1372.0,TONS,175572200
1995,216299,GRAPESWINE,97,Sonoma,33189.0,4.22,139993.0,1135.0,TONS,158824800
1994,216299,GRAPESWINE,97,Sonoma,33766.0,4.53,153096.0,995.0,TONS,152280700
1993,216299,GRAPESWINE,97,Sonoma,31475.0,4.16,131039.0,952.0,TONS,124725900
1992,216299,GRAPESWINE,97,Sonoma,31263.0,4.73,148010.0,1004.0,TONS,148618600
1991,216299,GRAPESWINE,97,Sonoma,29421.0,4.95,145493.0,1016.0,TONS,147802900
1990,216299,GRAPESWINE,97,Sonoma,29473.0,3.8,111921.0,1004.0,TONS,112401900
1989,216299,GRAPESWINE,97,Sonoma,29298.0,4.42,129544.0,944.0,TONS,122306600
1988,216299,GRAPESWINE,97,Sonoma,29452.0,3.54,104161.0,805.0,TON,83824800
1987,216299,GRAPESWINE,97,Sonoma,28191.0,3.77,106205.0,636.0,TONS,67567600
1986,216299,GRAPESWINE,97,Sonoma,28609.0,3.77,107992.0,579.0,TON,62565480
1985,216299,GRAPESWINE,97,Sonoma,28099.0,3.59,100962.0,572.0,TONS,57700792
1984,216299,GRAPESWINE,97,Sonoma,26348.0,3.81,100293.0,592.0,TONS,59369600
1983,216299,GRAPESWINE,97,Sonoma,25541.0,3.14,80201.0,543.0,TONS,43514100
1982,216299,GRAPESWINE,97,Sonoma,24746.0,4.0,98979.0,565.0,TONS,55910300
1981,216299,GRAPESWINE,97,Sonoma,23776.0,3.39,80675.0,590.0,TONS,47626000
1980,216299,GRAPESWINE,97,Sonoma,23639.0,3.34,78941.0,506.0,TONS,39982000
